# this is our data file
#
# there are 6 columns and 1000 rows
#
# maybe the variables are
# A B C D E F
1.1044 -1.1946 0.70307 3.3277 1.9518 0.61395
0.7092 2.2438 0.45207 2.2912 3.1459 0.59063
0.27192 -0.48689 0.7733 2.4382 5.8798 0.0084606
0.4937 0.39246 0.39457 2.4942 4.3528 0.54757
0.58654 0.17223 0.38412 2.2922 1.7707 0.9508
0.88008 2.7497 0.29817 3.0781 3.456 0.35784
0.63287 0.20307 0.14511 3.5003 5.6831 0.86792
0.39803 -2.8438 0.66937 3.058 2.7084 0.55542
0.55448 -1.1572 0.65309 2.1875 2.9686 0.28235
0.20861 4.4429 0.95393 2.9582 3.7884 0.81341
0.51399 3.6337 0.017943 3.279 3.3352 0.39255
0.20533 1.7541 0.7434 2.7391 2.7222 0.49262
0.51712 4.6099 0.84718 2.6416 4.1234 0.24815
0.86235 0.72119 0.026256 2.32 2.7982 0.82989
0.29628 3.6909 0.45583 2.9391 5.2112 0.97868
0.38299 -2.1272 0.10543 3.0427 1.805 0.28028
0.69126 -0.98919 0.7819 3.0781 4.9191 0.43685
0.26226 1.0575 0.49023 2.5123 1.9969 0.62382
0.67309 -0.81226 0.94345 3.1491 5.3477 0.77053
0.085462 1.052 0.88233 2.4305 4.1769 0.32488
0.14052 0.10244 0.81564 2.957 1.7515 0.8461
#
# random comment in the middle
#
0.55354 -0.46744 0.89353 2.2806 4.0578 0.77468
0.59119 0.65485 0.67644 3.1563 5.8552 0.51034
0.66123 0.44262 0.27502 2.2645 5.461 0.7198
0.67746 -0.62303 0.74805 3.3337 4.9056 0.5395
1.0297 1.2414 0.43834 2.2335 4.3192 0.5126
0.84119 -0.94096 0.3757 3.3304 2.2439 0.99719
0.44032 1.6685 0.4722 3.1758 3.8379 0.48867
0.74028 1.1987 0.50831 2.4309 2.7523 0.65637
-0.014135 4.9441 0.1624 2.3668 5.0778 0.8401
0.41735 0.99762 0.048099 2.1391 2.9637 0.88029
0.61176 3.9 0.34645 2.4078 5.2997 0.48664
0.80586 3.3862 0.16996 2.3476 2.9234 0.86165
0.38017 1.6748 0.45847 2.1832 2.2226 0.47382
0.46609 -2.3831 0.36142 3.3966 5.4167 0.51285
0.44674 -1.4982 0.63824 2.2003 5.9718 0.4633
0.3203 3.742 0.76001 2.3487 4.4664 0.057565
0.14583 1.9707 0.23447 2.2968 4.6438 0.47625
0.23763 -2.2152 0.15025 2.6042 3.3471 0.39927
1.0356 0.91692 0.12205 2.6689 6.0626 0.69129
0.53874 0.81305 0.56108 2.3762 1.9507 0.49806
0.62583 0.26387 0.14703 3.0065 1.7936 0.48835
0.58248 -3.2439 0.54585 3.3599 5.3642 0.071642
0.52285 4.6433 0.044963 2.3409 5.4722 0.49615
0.25062 1.3151 0.27076 3.0574 4.0879 0.35699
0.52262 1.8646 0.31222 3.3042 1.6854 0.6864
0.44273 -1.5064 0.19905 2.3087 3.6496 0.36939
0.60462 1.7026 0.76801 3.2387 4.9347 0.097725
0.2108 0.082738 0.51711 2.4112 2.5985 0.49468
0.72062 -0.74316 0.060982 3.1931 2.5718 0.5263
0.54333 1.532 0.7762 2.1328 4.5303 0.087616
#
# comment at the end of the line
#
